"Nome Parlamentar","Partido","UF","Titular/Suplente/Efetivado","Endereço","Anexo","Endereço (continuação)","Gabinete","Endereço (complemento)","Telefone","Fax","Mês Aniversário","Dia Aniversário","Correio Eletrônico","Nome sem Acento","Tratamento","Nome Civil"
"JORGE SOLLA","PT","BA","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",571,"Brasília - DF - CEP 70160-900","3215-5571","3215-2571","04","11","dep.jorgesolla@camara.leg.br","JORGE SOLLA","Exmo. Senhor Deputado","JORGE JOSE SANTOS PEREIRA SOLLA"
"JOSÉ AIRTON FÉLIX CIRILO","PT","CE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",319,"Brasília - DF - CEP 70160-900","3215-5319","3215-2319","02","21","dep.joseairtonfelixcirilo@camara.leg.br","JOSE AIRTON FELIX CIRILO","Exmo. Senhor Deputado","JOSÉ AIRTON FÉLIX CIRILO DA SILVA"
"JOSÉ GUIMARÃES","PT","CE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",306,"Brasília - DF - CEP 70160-900","3215-5306","3215-2306","02","13","dep.joseguimaraes@camara.leg.br","JOSE GUIMARAES","Exmo. Senhor Deputado","JOSÉ NOBRE GUIMARÃES"
"JOSE MARIO SCHREINER","DEM","GO","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",567,"Brasília - DF - CEP 70160-900","3215-5567","3215-2567","02","08","dep.josemarioschreiner@camara.leg.br","JOSE MARIO SCHREINER","Exmo. Senhor Deputado","JOSE MARIO SCHREINER"
"JOSÉ MEDEIROS","PODE","MT","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",335,"Brasília - DF - CEP 70160-900","3215-5335","3215-2335","03","19","dep.josemedeiros@camara.leg.br","JOSE MEDEIROS","Exmo. Senhor Deputado","JOSE ANTONIO DOS SANTOS MEDEIROS"
"JOSÉ NELTO","PODE","GO","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",703,"Brasília - DF - CEP 70160-900","3215-5703","3215-2703","09","19","dep.josenelto@camara.leg.br","JOSE NELTO","Exmo. Senhor Deputado","JOSÉ NELTO LAGARES DAS MERCEZ"
"JOSÉ NUNES","PSD","BA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",728,"Brasília - DF - CEP 70160-900","3215-5728","3215-2728","12","18","dep.josenunes@camara.leg.br","JOSE NUNES","Exmo. Senhor Deputado","JOSÉ NUNES SOARES"
"JOSÉ PRIANTE","MDB","PA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",752,"Brasília - DF - CEP 70160-900","3215-5752","3215-2752","12","02","dep.josepriante@camara.leg.br","JOSE PRIANTE","Exmo. Senhor Deputado","JOSÉ BENITO PRIANTE JÚNIOR"
"JOSÉ RICARDO","PT","AM","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",411,"Brasília - DF - CEP 70160-900","3215-5411","3215-2411","06","23","dep.josericardo@camara.leg.br","JOSE RICARDO","Exmo. Senhor Deputado","JOSÉ RICARDO WENDLING"
"JOSÉ ROCHA","PL","BA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",908,"Brasília - DF - CEP 70160-900","3215-5908","3215-2908","08","18","dep.joserocha@camara.leg.br","JOSE ROCHA","Exmo. Senhor Deputado","JOSÉ ALVES ROCHA"
"JOSIAS GOMES","PT","BA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",642,"Brasília - DF - CEP 70160-900","3215-5642","3215-2642","10","14","dep.josiasgomes@camara.leg.br","JOSIAS GOMES","Exmo. Senhor Deputado","JOSIAS GOMES DA SILVA"
"JOSIMAR MARANHÃOZINHO","PL","MA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",715,"Brasília - DF - CEP 70160-900","3215-5715","3215-2715","11","13","dep.josimarmaranhaozinho@camara.leg.br","JOSIMAR MARANHAOZINHO","Exmo. Senhor Deputado","JOSIMAR CUNHA RODRIGUES"
"JUAREZ COSTA","MDB","MT","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",472,"Brasília - DF - CEP 70160-900","3215-5472","3215-2472","01","20","dep.juarezcosta@camara.leg.br","JUAREZ COSTA","Exmo. Senhor Deputado","JUAREZ ALVES DA COSTA"
"JULIAN LEMOS ","PSL","PB","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",272,"Brasília - DF - CEP 70160-900","3215-5272","3215-2272","01","05","dep.julianlemos@camara.leg.br","JULIAN LEMOS ","Exmo. Senhor Deputado","GULLIEM CHARLES BEZERRA LEMOS"
"JÚLIO CESAR","PSD","PI","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",944,"Brasília - DF - CEP 70160-900","3215-5944","3215-2944","08","25","dep.juliocesar@camara.leg.br","JULIO CESAR","Exmo. Senhor Deputado","JÚLIO CÉSAR DE CARVALHO LIMA"
"JULIO CESAR RIBEIRO","REPUBLICANOS","DF","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",471,"Brasília - DF - CEP 70160-900","3215-5471","3215-2471","02","24","dep.juliocesarribeiro@camara.leg.br","JULIO CESAR RIBEIRO","Exmo. Senhor Deputado","JULIO CESAR RIBEIRO"
"JÚLIO DELGADO","PSB","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",323,"Brasília - DF - CEP 70160-900","3215-5323","3215-2323","11","18","dep.juliodelgado@camara.leg.br","JULIO DELGADO","Exmo. Senhor Deputado","JÚLIO CÉSAR DELGADO"
"JUNINHO DO PNEU","DEM","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",641,"Brasília - DF - CEP 70160-900","3215-5641","3215-2641","10","23","dep.juninhodopneu@camara.leg.br","JUNINHO DO PNEU","Exmo. Senhor Deputado","ROGERIO TEIXEIRA JUNIOR"
"JUNIO AMARAL","PSL","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",302,"Brasília - DF - CEP 70160-900","3215-5302","3215-2302","06","30","dep.junioamaral@camara.leg.br","JUNIO AMARAL","Exmo. Senhor Deputado","GERALDO JUNIO DO AMARAL"
"JÚNIOR BOZZELLA","PSL","SP","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",582,"Brasília - DF - CEP 70160-900","3215-5582","3215-2582","08","17","dep.juniorbozzella@camara.leg.br","JUNIOR BOZZELLA","Exmo. Senhor Deputado","NICOLINO BOZZELLA JUNIOR"
"JÚNIOR FERRARI","PSD","PA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",919,"Brasília - DF - CEP 70160-900","3215-5919","3215-2919","07","13","dep.juniorferrari@camara.leg.br","JUNIOR FERRARI","Exmo. Senhor Deputado","JOÃO FERRARI JÚNIOR"
"JUNIOR LOURENÇO","PL","MA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",513,"Brasília - DF - CEP 70160-900","3215-5513","3215-2513","10","18","dep.juniorlourenco@camara.leg.br","JUNIOR LOURENCO","Exmo. Senhor Deputado","JOSE LOURENÇO BONFIM JUNIOR"
"JÚNIOR MANO","PL","CE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",807,"Brasília - DF - CEP 70160-900","3215-5807","3215-2807","04","16","dep.juniormano@camara.leg.br","JUNIOR MANO","Exmo. Senhor Deputado","ANTÔNIO LUIZ RODRIGUES MANO JÚNIOR"
"JUSCELINO FILHO","DEM","MA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",222,"Brasília - DF - CEP 70160-900","3215-5222","3215-2222","11","06","dep.juscelinofilho@camara.leg.br","JUSCELINO FILHO","Exmo. Senhor Deputado","JOSE JUSCELINO DOS SANTOS REZENDE FILHO"
"KIM KATAGUIRI","DEM","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",421,"Brasília - DF - CEP 70160-900","3215-5421","3215-2421","01","28","dep.kimkataguiri@camara.leg.br","KIM KATAGUIRI","Exmo. Senhor Deputado","KIM PATROCA KATAGUIRI"
"LAERCIO OLIVEIRA","PP","SE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",629,"Brasília - DF - CEP 70160-900","3215-5629","3215-2629","04","15","dep.laerciooliveira@camara.leg.br","LAERCIO OLIVEIRA","Exmo. Senhor Deputado","LAERCIO JOSÉ DE OLIVEIRA"
"LAFAYETTE DE ANDRADA","REPUBLICANOS","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",208,"Brasília - DF - CEP 70160-900","3215-5208","3215-2208","10","17","dep.lafayettedeandrada@camara.leg.br","LAFAYETTE DE ANDRADA","Exmo. Senhor Deputado","LAFAYETTE LUIZ DOORGAL DE ANDRADA"
"LAURIETE","PL","ES","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",223,"Brasília - DF - CEP 70160-900","3215-5223","3215-2223","02","23","dep.lauriete@camara.leg.br","LAURIETE","Exma. Senhora Deputada","LAURIETE RODRIGUES DE JESUS"
"LEANDRE","PV","PR","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",454,"Brasília - DF - CEP 70160-900","3215-5454","3215-2454","12","20","dep.leandre@camara.leg.br","LEANDRE","Exma. Senhora Deputada","LEANDRE DAL PONTE"
"LEDA SADALA","AVANTE","AP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",611,"Brasília - DF - CEP 70160-900","3215-5611","3215-2611","06","11","dep.ledasadala@camara.leg.br","LEDA SADALA","Exma. Senhora Deputada","LEDA MARIA SADALA BRITO"
"LÉO MORAES","PODE","RO","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",503,"Brasília - DF - CEP 70160-900","3215-5503","3215-2503","01","11","dep.leomoraes@camara.leg.br","LEO MORAES","Exmo. Senhor Deputado","LEONARDO BARRETO DE MORAES"
"LÉO MOTTA","PSL","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",724,"Brasília - DF - CEP 70160-900","3215-5724","3215-2724","10","26","dep.leomotta@camara.leg.br","LEO MOTTA","Exmo. Senhor Deputado","ELIEL MÁRCIO DO CARMO"
"LEONARDO MONTEIRO","PT","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",922,"Brasília - DF - CEP 70160-900","3215-5922","3215-2922","10","09","dep.leonardomonteiro@camara.leg.br","LEONARDO MONTEIRO","Exmo. Senhor Deputado","JOSÉ LEONARDO COSTA MONTEIRO"
"LEÔNIDAS CRISTINO","PDT","CE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",948,"Brasília - DF - CEP 70160-900","3215-5948","3215-2948","06","03","dep.leonidascristino@camara.leg.br","LEONIDAS CRISTINO","Exmo. Senhor Deputado","JOSÉ LEÔNIDAS DE MENEZES CRISTINO"
"LEUR LOMANTO JÚNIOR","DEM","BA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",406,"Brasília - DF - CEP 70160-900","3215-5406","3215-2406","10","28","dep.leurlomantojunior@camara.leg.br","LEUR LOMANTO JUNIOR","Exmo. Senhor Deputado","LEUR ANTONIO DE BRITTO LOMANTO JUNIOR"
"LÍDICE DA MATA","PSB","BA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",913,"Brasília - DF - CEP 70160-900","3215-5913","3215-2913","03","12","dep.lidicedamata@camara.leg.br","LIDICE DA MATA","Exma. Senhora Deputada","LÍDICE DA MATA E SOUZA"
"LINCOLN PORTELA","PL","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",615,"Brasília - DF - CEP 70160-900","3215-5615","3215-2615","11","03","dep.lincolnportela@camara.leg.br","LINCOLN PORTELA","Exmo. Senhor Deputado","LINCOLN DINIZ PORTELA"
"LIZIANE BAYER","PSB","RS","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",538,"Brasília - DF - CEP 70160-900","3215-5538","3215-2538","01","24","dep.lizianebayer@camara.leg.br","LIZIANE BAYER","Exma. Senhora Deputada","LIZIANE BAYER DA COSTA"
"LOESTER TRUTIS","PSL","MS","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",380,"Brasília - DF - CEP 70160-900","3215-5380","3215-2380","09","21","dep.loestertrutis@camara.leg.br","LOESTER TRUTIS","Exmo. Senhor Deputado","LOESTER CARLOS GOMES DE SOUZA"
"LOURIVAL GOMES","PSL","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",636,"Brasília - DF - CEP 70160-900","3215-5636","3215-2636","07","22","dep.lourivalgomes@camara.leg.br","LOURIVAL GOMES","Exmo. Senhor Deputado","LOURIVAL GOMES DE ALMEIDA"
"LUCAS GONZALEZ","NOVO","MG","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",581,"Brasília - DF - CEP 70160-900","3215-5581","3215-2581","12","21","dep.lucasgonzalez@camara.leg.br","LUCAS GONZALEZ","Exmo. Senhor Deputado","LUCAS DE VASCONCELOS GONZALEZ"
"LUCAS REDECKER","PSDB","RS","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",905,"Brasília - DF - CEP 70160-900","3215-5905","3215-2905","05","26","dep.lucasredecker@camara.leg.br","LUCAS REDECKER","Exmo. Senhor Deputado","LUCAS BELLO REDECKER"
"LUCAS VERGILIO","SOLIDARIEDADE","GO","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",816,"Brasília - DF - CEP 70160-900","3215-5816","3215-2816","04","08","dep.lucasvergilio@camara.leg.br","LUCAS VERGILIO","Exmo. Senhor Deputado","LUCAS DE CASTRO SANTOS"
"LUCIANO BIVAR","PSL","PE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",215,"Brasília - DF - CEP 70160-900","3215-5215","3215-2215","11","29","dep.lucianobivar@camara.leg.br","LUCIANO BIVAR","Exmo. Senhor Deputado","LUCIANO CALDAS BIVAR"
"LUCIANO DUCCI","PSB","PR","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",427,"Brasília - DF - CEP 70160-900","3215-5427","3215-2427","03","23","dep.lucianoducci@camara.leg.br","LUCIANO DUCCI","Exmo. Senhor Deputado","LUCIANO DUCCI"
"LUCIO MOSQUINI","MDB","RO","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",918,"Brasília - DF - CEP 70160-900","3215-5918","3215-2918","07","23","dep.luciomosquini@camara.leg.br","LUCIO MOSQUINI","Exmo. Senhor Deputado","LUCIO ANTONIO MOSQUINI"
"LUIS MIRANDA","DEM","DF","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",241,"Brasília - DF - CEP 70160-900","3215-5241","3215-2241","03","27","dep.luismiranda@camara.leg.br","LUIS MIRANDA","Exmo. Senhor Deputado","LUIS CLAUDIO FERNANDES MIRANDA"
"LUIS TIBÉ","AVANTE","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",632,"Brasília - DF - CEP 70160-900","3215-5632","3215-2632","07","23","dep.luistibe@camara.leg.br","LUIS TIBE","Exmo. Senhor Deputado","LUIS HENRIQUE DE OLIVEIRA RESENDE"
"LUISA CANZIANI","PTB","PR","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",842,"Brasília - DF - CEP 70160-900","3215-5842","3215-2842","04","11","dep.luisacanziani@camara.leg.br","LUISA CANZIANI","Exma. Senhora Deputada","LUISA CANZIANI DOS SANTOS SILVEIRA"
"LUIZ ANTÔNIO CORRÊA","PL","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",610,"Brasília - DF - CEP 70160-900","3215-5610","3215-2610","12","27","dep.luizantoniocorrea@camara.leg.br","LUIZ ANTONIO CORREA","Exmo. Senhor Deputado","LUIZ ANTONIO DA COSTA CARVALHO CORREA DA SILVA"
"LUIZ CARLOS","PSDB","AP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",512,"Brasília - DF - CEP 70160-900","3215-5512","3215-2512","08","16","dep.luizcarlos@camara.leg.br","LUIZ CARLOS","Exmo. Senhor Deputado","LUIZ CARLOS GOMES DOS SANTOS JUNIOR"
"LUIZ CARLOS MOTTA","PL","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",415,"Brasília - DF - CEP 70160-900","3215-5415","3215-2415","04","24","dep.luizcarlosmotta@camara.leg.br","LUIZ CARLOS MOTTA","Exmo. Senhor Deputado","LUIZ CARLOS MOTTA"
"LUIZ FLÁVIO GOMES","PSB","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",904,"Brasília - DF - CEP 70160-900","3215-5904","3215-2904","05","06","dep.luizflaviogomes@camara.leg.br","LUIZ FLAVIO GOMES","Exmo. Senhor Deputado","LUIZ FLAVIO GOMES"
"LUIZ LIMA","PSL","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",504,"Brasília - DF - CEP 70160-900","3215-5504","3215-2504","12","10","dep.luizlima@camara.leg.br","LUIZ LIMA","Exmo. Senhor Deputado","LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA"
"LUIZ NISHIMORI","PL","PR","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",907,"Brasília - DF - CEP 70160-900","3215-5907","3215-2907","04","09","dep.luiznishimori@camara.leg.br","LUIZ NISHIMORI","Exmo. Senhor Deputado","LUIZ HILOSHI NISHIMORI"
"LUIZ PHILIPPE DE ORLEANS E BRAGANÇA","PSL","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",719,"Brasília - DF - CEP 70160-900","3215-5719","3215-2719","04","03","dep.luizphilippedeorleansebraganca@camara.leg.br","LUIZ PHILIPPE DE ORLEANS E BRAGANCA","Exmo. Senhor Deputado","LUIZ PHILIPPE DE ORLEANS BRAGANÇA"
"LUIZA ERUNDINA","PSOL","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",620,"Brasília - DF - CEP 70160-900","3215-5620","3215-2620","11","30","dep.luizaerundina@camara.leg.br","LUIZA ERUNDINA","Exma. Senhora Deputada","LUIZA ERUNDINA DE SOUSA"
"LUIZÃO GOULART","REPUBLICANOS","PR","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",218,"Brasília - DF - CEP 70160-900","3215-5218","3215-2218","06","06","dep.luizaogoulart@camara.leg.br","LUIZAO GOULART","Exmo. Senhor Deputado","LUIZ GOULARTE ALVES"
"LUIZIANNE LINS","PT","CE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",713,"Brasília - DF - CEP 70160-900","3215-5713","3215-2713","11","18","dep.luiziannelins@camara.leg.br","LUIZIANNE LINS","Exma. Senhora Deputada","LUIZIANNE DE OLIVEIRA LINS"
"MAGDA MOFATTO","PL","GO","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",934,"Brasília - DF - CEP 70160-900","3215-5934","3215-2934","10","26","dep.magdamofatto@camara.leg.br","MAGDA MOFATTO","Exma. Senhora Deputada","MAGDA MOFATTO HON"
"MAJOR FABIANA","PSL","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",509,"Brasília - DF - CEP 70160-900","3215-5509","3215-2509","01","09","dep.majorfabiana@camara.leg.br","MAJOR FABIANA","Exma. Senhora Deputada","FABIANA SILVA DE SOUZA POUBEL"
"MANUEL MARCOS","REPUBLICANOS","AC","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",572,"Brasília - DF - CEP 70160-900","3215-5572","3215-2572","05","07","dep.manuelmarcos@camara.leg.br","MANUEL MARCOS","Exmo. Senhor Deputado","MANUEL MARCOS CARVALHO DE MESQUITA"
"MARA ROCHA","PSDB","AC","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",607,"Brasília - DF - CEP 70160-900","3215-5607","3215-2607","09","04","dep.mararocha@camara.leg.br","MARA ROCHA","Exma. Senhora Deputada","CYLMARA FERNANDES DA ROCHA GRIPP"
"MARCEL VAN HATTEM","NOVO","RS","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",271,"Brasília - DF - CEP 70160-900","3215-5271","3215-2271","11","08","dep.marcelvanhattem@camara.leg.br","MARCEL VAN HATTEM","Exmo. Senhor Deputado","MARCEL VAN HATTEM"
"MARCELO ARO","PP","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",821,"Brasília - DF - CEP 70160-900","3215-5821","3215-2821","06","12","dep.marceloaro@camara.leg.br","MARCELO ARO","Exmo. Senhor Deputado","MARCELO GUILHERME DE ARO FERREIRA"
"MARCELO BRUM","PSL","RS","S","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",828,"Brasília - DF - CEP 70160-900","3215-5828","3215-2828","11","25","dep.marcelobrum@camara.leg.br","MARCELO BRUM","Exmo. Senhor Deputado","MARCELO DE BRUM DA COSTA"
"MARCELO CALERO","CIDADANIA","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",939,"Brasília - DF - CEP 70160-900","3215-5939","3215-2939","07","07","dep.marcelocalero@camara.leg.br","MARCELO CALERO","Exmo. Senhor Deputado","MARCELO CALERO FARIA GARCIA"
"MARCELO FREIXO","PSOL","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",725,"Brasília - DF - CEP 70160-900","3215-5725","3215-2725","04","12","dep.marcelofreixo@camara.leg.br","MARCELO FREIXO","Exmo. Senhor Deputado","MARCELO RIBEIRO FREIXO"
"MARCELO MORAES","PTB","RS","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",258,"Brasília - DF - CEP 70160-900","3215-5258","3215-2258","08","07","dep.marcelomoraes@camara.leg.br","MARCELO MORAES","Exmo. Senhor Deputado","MARCELO PIRES MORAES"
"MARCELO NILO","PSB","BA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",520,"Brasília - DF - CEP 70160-900","3215-5520","3215-2520","04","26","dep.marcelonilo@camara.leg.br","MARCELO NILO","Exmo. Senhor Deputado","JOSÉ MARCELO DO NASCIMENTO NILO"
"MARCELO RAMOS ","PL","AM","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",805,"Brasília - DF - CEP 70160-900","3215-5805","3215-2805","08","29","dep.marceloramos@camara.leg.br","MARCELO RAMOS ","Exmo. Senhor Deputado","MARCELO RAMOS RODRIGUES"
"MARCIO ALVINO","PL","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",331,"Brasília - DF - CEP 70160-900","3215-5331","3215-2331","06","14","dep.marcioalvino@camara.leg.br","MARCIO ALVINO","Exmo. Senhor Deputado","MARCIO LUIZ ALVINO DE SOUZA"
"MÁRCIO BIOLCHI","MDB","RS","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",843,"Brasília - DF - CEP 70160-900","3215-5843","3215-2843","05","23","dep.marciobiolchi@camara.leg.br","MARCIO BIOLCHI","Exmo. Senhor Deputado","MARCIO DELLA VALLE BIOLCHI"
"MÁRCIO JERRY","PCdoB","MA","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",372,"Brasília - DF - CEP 70160-900","3215-5372","3215-2372","11","14","dep.marciojerry@camara.leg.br","MARCIO JERRY","Exmo. Senhor Deputado","MÁRCIO JERRY SARAIVA BARROSO"
"MÁRCIO LABRE","PSL","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",325,"Brasília - DF - CEP 70160-900","3215-5325","3215-2325","02","27","dep.marciolabre@camara.leg.br","MARCIO LABRE","Exmo. Senhor Deputado","MÁRCIO DA SILVEIRA LABRE"
"MÁRCIO MARINHO","REPUBLICANOS","BA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",326,"Brasília - DF - CEP 70160-900","3215-5326","3215-2326","12","12","dep.marciomarinho@camara.leg.br","MARCIO MARINHO","Exmo. Senhor Deputado","MÁRCIO CARLOS MARINHO"
"MARCO BERTAIOLLI","PSD","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",401,"Brasília - DF - CEP 70160-900","3215-5401","3215-2401","04","30","dep.marcobertaiolli@camara.leg.br","MARCO BERTAIOLLI","Exmo. Senhor Deputado","MARCO AURELIO BERTAIOLLI"
"MARCON","PT","RS","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",569,"Brasília - DF - CEP 70160-900","3215-5569","3215-2569","09","21","dep.marcon@camara.leg.br","MARCON","Exmo. Senhor Deputado","DIONILSO MATEUS MARCON"
"MARCOS AURÉLIO SAMPAIO","MDB","PI","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",565,"Brasília - DF - CEP 70160-900","3215-5565","3215-2565","09","19","dep.marcosaureliosampaio@camara.leg.br","MARCOS AURELIO SAMPAIO","Exmo. Senhor Deputado","MARCOS AURÉLIO  PÁDUA RIBEIRO GONÇALVES DE SAMPAIO"
"MARCOS PEREIRA","REPUBLICANOS","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",523,"Brasília - DF - CEP 70160-900","3215-5523","3215-2523","04","04","dep.marcospereira@camara.leg.br","MARCOS PEREIRA","Exmo. Senhor Deputado","MARCOS ANTONIO PEREIRA"
"MARGARETE COELHO","PP","PI","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",210,"Brasília - DF - CEP 70160-900","3215-5210","3215-2210","03","12","dep.margaretecoelho@camara.leg.br","MARGARETE COELHO","Exma. Senhora Deputada","MARGARETE DE CASTRO COELHO"
"MARGARIDA SALOMÃO","PT","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",236,"Brasília - DF - CEP 70160-900","3215-5236","3215-2236","06","10","dep.margaridasalomao@camara.leg.br","MARGARIDA SALOMAO","Exma. Senhora Deputada","MARIA MARGARIDA MARTINS SALOMÃO"
"MARIA DO ROSÁRIO","PT","RS","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",312,"Brasília - DF - CEP 70160-900","3215-5312","3215-2312","11","22","dep.mariadorosario@camara.leg.br","MARIA DO ROSARIO","Exma. Senhora Deputada","MARIA DO ROSÁRIO NUNES"
"MARIA ROSAS ","REPUBLICANOS","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",436,"Brasília - DF - CEP 70160-900","3215-5436","3215-2436","10","01","dep.mariarosas@camara.leg.br","MARIA ROSAS ","Exma. Senhora Deputada","MARIA DO PARTO MENDES ROSAS"
"MARIANA CARVALHO","PSDB","RO","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",508,"Brasília - DF - CEP 70160-900","3215-5508","3215-2508","11","26","dep.marianacarvalho@camara.leg.br","MARIANA CARVALHO","Exma. Senhora Deputada","MARIANA FONSECA RIBEIRO CARVALHO DE MORAES"
"MARÍLIA ARRAES","PT","PE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",654,"Brasília - DF - CEP 70160-900","3215-5654","3215-2654","04","12","dep.mariliaarraes@camara.leg.br","MARILIA ARRAES","Exma. Senhora Deputada","MARÍLIA VALENÇA ROCHA ARRAES DE ALENCAR"
"MARINA SANTOS ","SOLIDARIEDADE","PI","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",434,"Brasília - DF - CEP 70160-900","3215-5434","3215-2434","09","13","dep.marinasantos@camara.leg.br","MARINA SANTOS ","Exma. Senhora Deputada","MARINA SANTOS BATISTA DIAS"
"MÁRIO HERINGER","PDT","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",211,"Brasília - DF - CEP 70160-900","3215-5211","3215-2211","09","30","dep.marioheringer@camara.leg.br","MARIO HERINGER","Exmo. Senhor Deputado","MÁRIO LÚCIO HERINGER"
"MÁRIO NEGROMONTE JR.","PP","BA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",424,"Brasília - DF - CEP 70160-900","3215-5424","3215-2424","08","31","dep.marionegromontejr@camara.leg.br","MARIO NEGROMONTE JR.","Exmo. Senhor Deputado","MARIO SILVIO MENDES NEGROMONTE JUNIOR"
